nome: Arthur Armanelli; total de produtos: 1120; prazo: 90; horario de finalização: 09:14:48
nome: Bruno Romie; total de produtos: 320; prazo: sem prazo; horario de finalização: 10:58:12
nome: Ian Sousa; total de produtos: 640; prazo: sem prazo; horario de finalização: 12:14:50
nome: Amanda Lima; total de produtos: 560; prazo: sem prazo; horario de finalização: 11:43:40
nome: Isabella Lima; total de produtos: 80; prazo: 180; horario de finalização: 09:46:20
nome: Matthew Lima; total de produtos: 80; prazo: sem prazo; horario de finalização: 10:36:12
nome: Mateus Carmo; total de produtos: 640; prazo: 240; horario de finalização: 10:35:50
nome: Maria Sousa; total de produtos: 720; prazo: sem prazo; horario de finalização: 12:56:16
nome: Isabella Romie; total de produtos: 240; prazo: sem prazo; horario de finalização: 10:49:02
nome: Maria Meira; total de produtos: 640; prazo: sem prazo; horario de finalização: 12:17:46
nome: AndrÃ© Guelman; total de produtos: 1280; prazo: 90; horario de finalização: 09:20:40
nome: AndrÃ© Laine; total de produtos: 720; prazo: sem prazo; horario de finalização: 12:59:34
nome: TÃºlio Sousa; total de produtos: 1360; prazo: sem prazo; horario de finalização: 14:41:52
nome: Isabella Apolinario; total de produtos: 1440; prazo: 180; horario de finalização: 09:52:56
nome: AndrÃ© Santos; total de produtos: 560; prazo: sem prazo; horario de finalização: 11:46:14
nome: AndrÃ© Lima; total de produtos: 560; prazo: 170; horario de finalização: 09:45:58
nome: Bruno Sousa; total de produtos: 880; prazo: sem prazo; horario de finalização: 13:44:18
nome: Isabella Bolognani; total de produtos: 720; prazo: sem prazo; horario de finalização: 13:02:52
nome: Rodrigo Rocha; total de produtos: 400; prazo: sem prazo; horario de finalização: 11:10:18
nome: AndrÃ© Sousa; total de produtos: 480; prazo: sem prazo; horario de finalização: 11:23:30
nome: Lucas Armanelli; total de produtos: 480; prazo: sem prazo; horario de finalização: 11:25:42
nome: Mateus Armanelli; total de produtos: 480; prazo: sem prazo; horario de finalização: 11:27:54
nome: Mateus Laine; total de produtos: 160; prazo: 160; horario de finalização: 09:34:36
nome: Matthew Armanelli; total de produtos: 720; prazo: sem prazo; horario de finalização: 13:06:10
nome: Maria Guelman; total de produtos: 240; prazo: 200; horario de finalização: 09:55:30
nome: Bruno Laine; total de produtos: 400; prazo: sem prazo; horario de finalização: 11:12:08
nome: Isabella Rocha; total de produtos: 640; prazo: 70; horario de finalização: 09:00:52
nome: VÃ­tor Leal; total de produtos: 400; prazo: sem prazo; horario de finalização: 11:13:58
nome: VÃ­tor Meira; total de produtos: 720; prazo: sem prazo; horario de finalização: 13:09:28
nome: TÃºlio Guelman; total de produtos: 160; prazo: sem prazo; horario de finalização: 10:39:52
nome: Arthur Sousa; total de produtos: 480; prazo: sem prazo; horario de finalização: 11:30:06
nome: Ian Bolognani; total de produtos: 1200; prazo: 160; horario de finalização: 09:43:24
nome: Mateus Rocha; total de produtos: 80; prazo: sem prazo; horario de finalização: 10:36:34
nome: Isabella Santos; total de produtos: 1200; prazo: 20; horario de finalização: 08:09:10
nome: Ian Apolinario; total de produtos: 560; prazo: sem prazo; horario de finalização: 11:48:48
nome: VÃ­tor Santos; total de produtos: 2320; prazo: sem prazo; horario de finalização: 16:47:16
nome: VÃ­tor Apolinario; total de produtos: 1040; prazo: sem prazo; horario de finalização: 14:09:58
nome: Bruno Romie; total de produtos: 160; prazo: sem prazo; horario de finalização: 10:40:36
nome: Isabella Laine; total de produtos: 1360; prazo: sem prazo; horario de finalização: 14:48:06
nome: Lucas Santos; total de produtos: 80; prazo: sem prazo; horario de finalização: 10:36:56
nome: TÃºlio Meira; total de produtos: 640; prazo: sem prazo; horario de finalização: 12:20:42
nome: TÃºlio Meira; total de produtos: 560; prazo: sem prazo; horario de finalização: 11:51:22
nome: AndrÃ© Meira; total de produtos: 240; prazo: sem prazo; horario de finalização: 10:50:08
nome: Ian Laine; total de produtos: 240; prazo: sem prazo; horario de finalização: 10:51:14
nome: Rodrigo Laine; total de produtos: 400; prazo: sem prazo; horario de finalização: 11:15:48
nome: Mateus Sousa; total de produtos: 320; prazo: 40; horario de finalização: 08:31:32
nome: Isabella Bolognani; total de produtos: 1280; prazo: sem prazo; horario de finalização: 14:35:38
nome: VÃ­tor Guelman; total de produtos: 1760; prazo: sem prazo; horario de finalização: 15:59:36
nome: TÃºlio Bolognani; total de produtos: 880; prazo: sem prazo; horario de finalização: 13:48:20
