nome: Arthur Armanelli; total de produtos: 1120; prazo: 09:30; horário de chegada: 08:00; horario de finalização: 08:36:51
nome: Bruno Romie; total de produtos: 320; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 09:56:03
nome: Ian Sousa; total de produtos: 640; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 11:15:37
nome: Amanda Lima; total de produtos: 560; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 10:53:15
nome: Isabella Lima; total de produtos: 80; prazo: 11:00; horário de chegada: 08:00; horario de finalização: 09:04:32
nome: Matthew Lima; total de produtos: 80; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 09:34:36
nome: Mateus Carmo; total de produtos: 640; prazo: 12:00; horário de chegada: 08:00; horario de finalização: 09:32:24
nome: Maria Sousa; total de produtos: 720; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 12:01:38
nome: Isabella Romie; total de produtos: 240; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 09:43:35
nome: Maria Meira; total de produtos: 640; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 11:17:05
nome: AndrÃ© Guelman; total de produtos: 1280; prazo: 09:30; horário de chegada: 08:00; horario de finalização: 08:45:17
nome: AndrÃ© Laine; total de produtos: 720; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 12:03:17
nome: TÃºlio Sousa; total de produtos: 1360; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 14:02:27
nome: Isabella Apolinario; total de produtos: 1440; prazo: 11:00; horário de chegada: 08:00; horario de finalização: 09:07:50
nome: AndrÃ© Santos; total de produtos: 560; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 10:54:32
nome: AndrÃ© Lima; total de produtos: 560; prazo: 10:50; horário de chegada: 08:00; horario de finalização: 09:04:21
nome: Bruno Sousa; total de produtos: 880; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 13:01:02
nome: Isabella Bolognani; total de produtos: 720; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 12:04:56
nome: Rodrigo Rocha; total de produtos: 400; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 10:26:18
nome: AndrÃ© Sousa; total de produtos: 480; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 10:34:33
nome: Lucas Armanelli; total de produtos: 480; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 10:35:39
nome: Mateus Armanelli; total de produtos: 480; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 10:36:45
nome: Mateus Laine; total de produtos: 160; prazo: 10:40; horário de chegada: 08:00; horario de finalização: 08:58:07
nome: Matthew Armanelli; total de produtos: 720; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 12:10:04
nome: Maria Guelman; total de produtos: 240; prazo: 11:20; horário de chegada: 08:00; horario de finalização: 09:09:07
nome: Bruno Laine; total de produtos: 400; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 10:28:52
nome: Isabella Rocha; total de produtos: 640; prazo: 09:10; horário de chegada: 08:00; horario de finalização: 08:29:31
nome: VÃ­tor Leal; total de produtos: 400; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 10:29:47
nome: VÃ­tor Meira; total de produtos: 720; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 12:11:43
nome: TÃºlio Guelman; total de produtos: 160; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 09:37:10
nome: Arthur Sousa; total de produtos: 480; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 10:38:24
nome: Ian Bolognani; total de produtos: 1200; prazo: 10:40; horário de chegada: 08:00; horario de finalização: 09:00:52
nome: Mateus Rocha; total de produtos: 80; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 09:34:47
nome: Isabella Santos; total de produtos: 1200; prazo: 08:20; horário de chegada: 08:00; horario de finalização: 08:02:45
nome: Ian Apolinario; total de produtos: 560; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 10:57:39
nome: VÃ­tor Santos; total de produtos: 2320; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 15:50:26
nome: VÃ­tor Apolinario; total de produtos: 1040; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 13:21:01
nome: Bruno Romie; total de produtos: 160; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 09:37:32
nome: Isabella Laine; total de produtos: 1360; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 14:05:34
nome: Lucas Santos; total de produtos: 80; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 09:34:58
nome: TÃºlio Meira; total de produtos: 640; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 11:19:50
nome: TÃºlio Meira; total de produtos: 560; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 10:58:56
nome: AndrÃ© Meira; total de produtos: 240; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 09:44:08
nome: Ian Laine; total de produtos: 240; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 09:44:41
nome: Rodrigo Laine; total de produtos: 400; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 10:30:42
nome: Mateus Sousa; total de produtos: 320; prazo: 08:40; horário de chegada: 08:00; horario de finalização: 08:15:46
nome: Isabella Bolognani; total de produtos: 1280; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 13:56:24
nome: VÃ­tor Guelman; total de produtos: 1760; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 15:17:26
nome: TÃºlio Bolognani; total de produtos: 880; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 13:03:47
nome: VÃ­tor Rocha; total de produtos: 960; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 13:14:36
nome: Arthur Guelman; total de produtos: 320; prazo: 11:20; horário de chegada: 08:00; horario de finalização: 09:09:51
nome: Lucas Bolognani; total de produtos: 560; prazo: sem prazo; horário de chegada: 08:00; horario de finalização: 11:01:41
